Wind,JerlovType,a,b
1,III,3.50644648604259,0.995115306958468
1,IC,3.02607639710633,0.866451760314633
1,3C,2.4999498190932,0.646820100620765
1,7C,1.67701900327685,0.170426507808631
3,III,3.522573819349,0.991679325961055
3,IC,3.0387182632858,0.865960596988037
3,3C,2.50802889268003,0.647345036546878
3,7C,1.67796785202445,0.170531198087668
5,III,3.5972556682855,0.991278909795035
5,IC,3.0905268546628,0.868396591753567
5,3C,2.54083804619059,0.650870128867595
5,7C,1.68232291218146,0.170947307144954
7,III,3.64315941683007,0.989295479919012
7,IC,3.12363154305344,0.870236035692415
7,3C,2.56092293466339,0.653436061721296
7,7C,1.68457766544135,0.17075280496676
9,III,3.65275744154823,0.98844588540612
9,IC,3.13039877543402,0.870273597982761
9,3C,2.5649796867056,0.653213109489122
9,7C,1.68565441521564,0.170872743870723
